label,method,origin_count,origin_stability,origin_radii,baseline_nests,edge
positive_infinity_022_hopf_0.1,binary128_matching,2,US,"[0.05297248987213495, 327.4714610426819]","[{""pt"": [-2.235130064571309, 4.0447613970796645], ""tr"": 7.531909950517268, ""roots"": [], ""stab"": [], ""k"": 13, ""redge"": 0.020662496887253655}, {""pt"": [0.0, -0.0], ""tr"": -0.00022136367383242413, ""roots"": [0.10200277308269971, 643.7076870850963], ""stab"": [""U"", ""S""], ""k"": 188, ""redge"": 2.010328497117133e+17}]","{""kind"": ""scan_cap"", ""u_valid"": 40.0, ""F"": -8.554730869748924e-05, ""sign"": -1, ""r_valid"": 2.3538526683701997e+17}"
negative_023_hopf_1,binary128_matching,3,SUS,"[149.3713361153841, 507832.5485240862, 1357528.5383964055]","[{""pt"": [-8431939.692230852, 8431940.692230972], ""tr"": -21242875.281168647, ""roots"": [], ""stab"": [], ""k"": 0, ""redge"": null}, {""pt"": [0.0, -0.0], ""tr"": 1.475797590200645, ""roots"": [], ""stab"": [], ""k"": 0, ""redge"": null}]","{""kind"": ""scan_cap"", ""u_valid"": 40.0, ""F"": -0.00023055554979476545, ""sign"": -1, ""r_valid"": 2.3538526683701997e+17}"
negative_023_hopf_0.1,binary128_matching,3,SUS,"[4.120237143575318, 700528.7887208803, 1136666.134077005]","[{""pt"": [-8431939.580236312, 8431940.580236431], ""tr"": -21242876.327234745, ""roots"": [], ""stab"": [], ""k"": 0, ""redge"": null}, {""pt"": [0.0, -0.0], ""tr"": 0.1475797590200645, ""roots"": [], ""stab"": [], ""k"": 0, ""redge"": null}]","{""kind"": ""scan_cap"", ""u_valid"": 40.0, ""F"": -0.00023055555107141218, ""sign"": -1, ""r_valid"": 2.3538526683701997e+17}"
negative_024_fold,binary128_matching,0,,[],"[{""pt"": [-84309797.12452053, 84309798.12452054], ""tr"": -212632296.23812923, ""roots"": [], ""stab"": [], ""k"": 0, ""redge"": null}, {""pt"": [0.0, -0.0], ""tr"": 0.0, ""roots"": [], ""stab"": [], ""k"": 0, ""redge"": null}]","{""kind"": ""scan_cap"", ""u_valid"": 40.0, ""F"": -7.293149264723245e-05, ""sign"": -1, ""r_valid"": 2.3538526683701997e+17}"
negative_024_pair,binary128_matching,2,US,"[5982169.580487825, 8925579.089800714]","[{""pt"": [-84309863.23248732, 84309864.23248734], ""tr"": -212630894.74925175, ""roots"": [], ""stab"": [], ""k"": 0, ""redge"": null}, {""pt"": [0.0, -0.0], ""tr"": 0.0, ""roots"": [], ""stab"": [], ""k"": 0, ""redge"": null}]","{""kind"": ""scan_cap"", ""u_valid"": 40.0, ""F"": -7.293133122678252e-05, ""sign"": -1, ""r_valid"": 2.3538526683701997e+17}"
negative_024_hopf_1,binary128_matching,3,SUS,"[903.8190558577448, 4127158.813966981, 11030499.797028875]","[{""pt"": [-84309863.5287394, 84309864.52873941], ""tr"": -212630891.9825563, ""roots"": [], ""stab"": [], ""k"": 1, ""redge"": 0.0010000000000000002}, {""pt"": [0.0, -0.0], ""tr"": 3.513848168963296, ""roots"": [], ""stab"": [], ""k"": 0, ""redge"": null}]","{""kind"": ""scan_cap"", ""u_valid"": 40.0, ""F"": -7.293133115728902e-05, ""sign"": -1, ""r_valid"": 2.3538526683701997e+17}"
negative_024_hopf_0.1,binary128_matching,3,SUS,"[11.250258236737768, 5694053.281831838, 9238843.855910188]","[{""pt"": [-84309863.26211253, 84309864.26211254], ""tr"": -212630894.4725822, ""roots"": [], ""stab"": [], ""k"": 0, ""redge"": null}, {""pt"": [0.0, -0.0], ""tr"": 0.3513848168963296, ""roots"": [], ""stab"": [], ""k"": 0, ""redge"": null}]","{""kind"": ""scan_cap"", ""u_valid"": 40.0, ""F"": -7.293133121356712e-05, ""sign"": -1, ""r_valid"": 2.3538526683701997e+17}"
negative_025_fold,binary128_matching,0,,[],"[{""pt"": [-843032197.6176856, 843032198.6176856], ""tr"": -2127717405.7811806, ""roots"": [], ""stab"": [], ""k"": 0, ""redge"": null}, {""pt"": [0.0, -0.0], ""tr"": 0.0, ""roots"": [], ""stab"": [], ""k"": 0, ""redge"": null}]","{""kind"": ""scan_cap"", ""u_valid"": 40.0, ""F"": -2.306804326632253e-05, ""sign"": -1, ""r_valid"": 2.3538526683701997e+17}"
positive_infinity_023_fold,binary128_matching,0,,[],"[{""pt"": [-2.2349759218886858, 4.04470830798304], ""tr"": 7.5407612073419426, ""roots"": [], ""stab"": [], ""k"": 13, ""redge"": 0.020441724384275526}, {""pt"": [0.0, -0.0], ""tr"": 0.0, ""roots"": [3469390340.254205], ""stab"": [""S""], ""k"": 188, ""redge"": 2.010328497117133e+17}]","{""kind"": ""angular_chart_failure"", ""u_valid"": 37.5, ""F"": 3.8270151622979887e-22, ""status"": 3, ""u_failed"": 38.5, ""sign"": 1, ""r_valid"": 1.9321599304402836e+16}"
negative_025_pair,binary128_matching,2,US,"[49984610.27038592, 74581333.7492763]","[{""pt"": [-843032671.269178, 843032672.269178], ""tr"": -2127707364.3695536, ""roots"": [], ""stab"": [], ""k"": 0, ""redge"": null}, {""pt"": [0.0, -0.0], ""tr"": 0.0, ""roots"": [], ""stab"": [], ""k"": 0, ""redge"": null}]","{""kind"": ""scan_cap"", ""u_valid"": 40.0, ""F"": -2.3068006670648873e-05, ""sign"": -1, ""r_valid"": 2.3538526683701997e+17}"
