label,c,K,beta,alpha,selected_method,count,stability,outside_sign,edge_sign,edge_kind,edge_radius,sign_comparison,uncertain_sign_changes,baseline_origin_count,rational_vector
positive_infinity_008_fold,3693763015607288705311721366796031/3125000000000000000000000000000000,3/2,0,-679687500000000000000000000000000000/25006393171680175758428935034756341,double_full_return,0,,,1,integration_failure,722.1101823445339,unresolved,3,0,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-679687500000000000000000000000000000/25006393171680175758428935034756341"", ""0"", ""-10"", ""11/5"", ""3693763015607288705311721366796031/3125000000000000000000000000000000""]"
positive_infinity_008_pair,1183361652036107329198569035126763273751/1000000000000000000000000000000000000000,3/2,0,-72500000000000000000000000000000000000000/2672326057465726873728086462131465337087,double_full_return,2,SU,1,1,integration_failure,717.0156419918968,agree,1,2,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-72500000000000000000000000000000000000000/2672326057465726873728086462131465337087"", ""0"", ""-10"", ""11/5"", ""1183361652036107329198569035126763273751/1000000000000000000000000000000000000000""]"
negative_006_fold,17619015478562838478479252013218379/20000000000000000000000000000000000,-699999999999999999999999999999999961/1000000000000000000000000000000000000,0,-41300000000000000000000000000000000039/938091702641912232632717721454021690,double_full_return,0,,,-1,scan_cap,2.353852668369765e+17,unresolved,0,0,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-41300000000000000000000000000000000039/938091702641912232632717721454021690"", ""0"", ""-10"", ""11/5"", ""17619015478562838478479252013218379/20000000000000000000000000000000000""]"
positive_infinity_008_hopf_1,1183361652036107329198569035126763273751/1000000000000000000000000000000000000000,3/2,-36361872983495599/100000000000000000000,-72500000000000000000000000000000000000000/2672326057465726873728086462131465337087,double_full_return,3,USU,1,1,integration_failure,724.2818875558078,agree,0,3,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-72500000000000000000000000000000000000000/2672326057465726873728086462131465337087"", ""-36361872983495599/100000000000000000000"", ""-10"", ""11/5"", ""1183361652036107329198569035126763273751/1000000000000000000000000000000000000000""]"
positive_infinity_008_hopf_0.1,1183361652036107329198569035126763273751/1000000000000000000000000000000000000000,3/2,-18180936491747799/500000000000000000000,-72500000000000000000000000000000000000000/2672326057465726873728086462131465337087,double_full_return,3,USU,1,1,integration_failure,717.7337171727329,agree,0,3,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-72500000000000000000000000000000000000000/2672326057465726873728086462131465337087"", ""-18180936491747799/500000000000000000000"", ""-10"", ""11/5"", ""1183361652036107329198569035126763273751/1000000000000000000000000000000000000000""]"
negative_006_pair,1760166050993234336009716095186158303619/2000000000000000000000000000000000000000,-699999999999999999999999999999999961/1000000000000000000000000000000000000,0,-413000000000000000000000000000000000390000/9361826560925577696106877047047741339809,double_full_return,2,US,-1,-1,scan_cap,2.353852668369765e+17,agree,0,2,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-413000000000000000000000000000000000390000/9361826560925577696106877047047741339809"", ""0"", ""-10"", ""11/5"", ""1760166050993234336009716095186158303619/2000000000000000000000000000000000000000""]"
negative_006_hopf_1,1760166050993234336009716095186158303619/2000000000000000000000000000000000000000,-699999999999999999999999999999999961/1000000000000000000000000000000000000,44704843888673653/500000000000000000000,-413000000000000000000000000000000000390000/9361826560925577696106877047047741339809,double_full_return,3,SUS,-1,-1,scan_cap,2.353852668369765e+17,agree,0,3,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-413000000000000000000000000000000000390000/9361826560925577696106877047047741339809"", ""44704843888673653/500000000000000000000"", ""-10"", ""11/5"", ""1760166050993234336009716095186158303619/2000000000000000000000000000000000000000""]"
negative_006_hopf_0.1,1760166050993234336009716095186158303619/2000000000000000000000000000000000000000,-699999999999999999999999999999999961/1000000000000000000000000000000000000,89409687777347309/10000000000000000000000,-413000000000000000000000000000000000390000/9361826560925577696106877047047741339809,double_full_return,3,SUS,-1,-1,scan_cap,2.353852668369765e+17,agree,0,3,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-413000000000000000000000000000000000390000/9361826560925577696106877047047741339809"", ""89409687777347309/10000000000000000000000"", ""-10"", ""11/5"", ""1760166050993234336009716095186158303619/2000000000000000000000000000000000000000""]"
positive_infinity_009_fold,124435141619901523373014888182767003/100000000000000000000000000000000000,2,0,-22000000000000000000000000000000000000/868786557818916757103163770010437033,double_full_return,0,,,1,integration_failure,482.71139313167333,unresolved,2,0,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-22000000000000000000000000000000000000/868786557818916757103163770010437033"", ""0"", ""-10"", ""11/5"", ""124435141619901523373014888182767003/100000000000000000000000000000000000""]"
positive_infinity_009_pair,1245625419988670667496747141554536404693/1000000000000000000000000000000000000000,2,0,-220000000000000000000000000000000000000000/8701879619875377342464218557099900451623,double_full_return,2,SU,1,1,integration_failure,483.28920103534955,agree,0,2,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-220000000000000000000000000000000000000000/8701879619875377342464218557099900451623"", ""0"", ""-10"", ""11/5"", ""1245625419988670667496747141554536404693/1000000000000000000000000000000000000000""]"
