label,kind,c_exact,m_exact,K_exact,beta_exact,coefficient_vector,origin_count,origin_stability,origin_roots,section_angle,return_edge,edge_kind,edge_D,outside_outer_D,sign_mismatch,known_pair_supported,remote_roots
positive_extension_1,pair,15937393276037973135321278497807444294518592679913/10000000000000000000000000000000000000000000000000,39158518495695291859367193166713767/2000000000000000000000000000000000,707005878317165669639335070144583898551076832544737142062162409432377645575136084981/100000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-39158518495695291859367193166713767/2000000000000000000000000000000000"", ""0"", ""-10"", ""11/5"", ""15937393276037973135321278497807444294518592679913/10000000000000000000000000000000000000000000000000""]",1,S,[4454785377.297331],-1.0660159994339242,2.010328497117133e+17,scan_cap,-15.799890266598311,-0.01214817738029339,False,True,[[]]
positive_extension_1,hopf_small,15937393276037973135321278497807444294518592679913/10000000000000000000000000000000000000000000000000,39158518495695291859367193166713767/2000000000000000000000000000000000,707005878317165669639335070144583898551076832544737142062162409432377645575136084981/100000000000000000000000000000000000000000000000000000000000000000000000000000000000,-24632681321723492190805318017946162203512994755369/25000000000000000000000000000000000000000000000000000000000000000000000000000,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-39158518495695291859367193166713767/2000000000000000000000000000000000"", ""-24632681321723492190805318017946162203512994755369/25000000000000000000000000000000000000000000000000000000000000000000000000000"", ""-10"", ""11/5"", ""15937393276037973135321278497807444294518592679913/10000000000000000000000000000000000000000000000000""]",1,S,[4454785377.297331],-1.0660159994339242,2.010328497117133e+17,scan_cap,-15.799890266598311,-0.01214817738029339,False,True,[[]]
positive_extension_1,hopf,15937393276037973135321278497807444294518592679913/10000000000000000000000000000000000000000000000000,39158518495695291859367193166713767/2000000000000000000000000000000000,707005878317165669639335070144583898551076832544737142062162409432377645575136084981/100000000000000000000000000000000000000000000000000000000000000000000000000000000000,-24632681321723492190805318017946162203512994755369/2500000000000000000000000000000000000000000000000000000000000000000000000000,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-39158518495695291859367193166713767/2000000000000000000000000000000000"", ""-24632681321723492190805318017946162203512994755369/2500000000000000000000000000000000000000000000000000000000000000000000000000"", ""-10"", ""11/5"", ""15937393276037973135321278497807444294518592679913/10000000000000000000000000000000000000000000000000""]",1,S,[4454785377.297331],-1.0660159994339242,2.010328497117133e+17,scan_cap,-15.799890266598311,-0.01214817738029339,False,True,[[]]
negative_extension_0,fold,42055296574839274651113259505631561/125000000000000000000000000000000000,123983535783647841593545372338162737/10000000000000000000000,-20133901819478816114134397290452138853405406626096379098885396605232973/6250000000000000000000000000000000000000000000000000000000,0,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-123983535783647841593545372338162737/10000000000000000000000"", ""0"", ""-10"", ""11/5"", ""42055296574839274651113259505631561/125000000000000000000000000000000000""]",0,,[],-0.7853981633979267,,integration_failure_bracket,,,False,False,[[]]
negative_extension_0,pair,33645432753016020709212215548454207848271172157417/100000000000000000000000000000000000000000000000000,123983535783647841593545372338162737/10000000000000000000000,-16105491019445252725798373572826423127409561668535418293631115664260862690182396726381/5000000000000000000000000000000000000000000000000000000000000000000000000,0,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-123983535783647841593545372338162737/10000000000000000000000"", ""0"", ""-10"", ""11/5"", ""33645432753016020709212215548454207848271172157417/100000000000000000000000000000000000000000000000000""]",0,,[],-0.7853981633979267,,integration_failure_bracket,,,False,True,[[]]
negative_extension_0,hopf_small,33645432753016020709212215548454207848271172157417/100000000000000000000000000000000000000000000000000,123983535783647841593545372338162737/10000000000000000000000,-16105491019445252725798373572826423127409561668535418293631115664260862690182396726381/5000000000000000000000000000000000000000000000000000000000000000000000000,1/10000000,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-123983535783647841593545372338162737/10000000000000000000000"", ""1/10000000"", ""-10"", ""11/5"", ""33645432753016020709212215548454207848271172157417/100000000000000000000000000000000000000000000000000""]",0,,[],-0.7853981633979267,,integration_failure_bracket,,,False,True,[[]]
negative_extension_0,hopf,33645432753016020709212215548454207848271172157417/100000000000000000000000000000000000000000000000000,123983535783647841593545372338162737/10000000000000000000000,-16105491019445252725798373572826423127409561668535418293631115664260862690182396726381/5000000000000000000000000000000000000000000000000000000000000000000000000,1/1000000,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-123983535783647841593545372338162737/10000000000000000000000"", ""1/1000000"", ""-10"", ""11/5"", ""33645432753016020709212215548454207848271172157417/100000000000000000000000000000000000000000000000000""]",0,,[],-0.7853981633979267,,integration_failure_bracket,,,False,True,[[]]
negative_extension_1,fold,336231048423175680036092437940462019/1000000000000000000000000000000000000,138913914305860722107289545129867291/2500000000000000000000,-180790690005934544357130781630155668972333533698531945258747456344874181/12500000000000000000000000000000000000000000000000000000000,0,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-138913914305860722107289545129867291/2500000000000000000000"", ""0"", ""-10"", ""11/5"", ""336231048423175680036092437940462019/1000000000000000000000000000000000000""]",0,,[],-0.785398163397555,,integration_failure_bracket,,,False,False,[[]]
negative_extension_1,pair,16812073756985876448939796045368662903713602942089/50000000000000000000000000000000000000000000000000,138913914305860722107289545129867291/2500000000000000000000,-9038737871492224970393418807128640125428617124414410880492798195948434252118988580111/625000000000000000000000000000000000000000000000000000000000000000000000,0,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-138913914305860722107289545129867291/2500000000000000000000"", ""0"", ""-10"", ""11/5"", ""16812073756985876448939796045368662903713602942089/50000000000000000000000000000000000000000000000000""]",0,,[],-0.785398163397555,,integration_failure_bracket,,,False,True,[[]]
negative_extension_1,hopf_small,16812073756985876448939796045368662903713602942089/50000000000000000000000000000000000000000000000000,138913914305860722107289545129867291/2500000000000000000000,-9038737871492224970393418807128640125428617124414410880492798195948434252118988580111/625000000000000000000000000000000000000000000000000000000000000000000000,1/10000000,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-138913914305860722107289545129867291/2500000000000000000000"", ""1/10000000"", ""-10"", ""11/5"", ""16812073756985876448939796045368662903713602942089/50000000000000000000000000000000000000000000000000""]",0,,[],-0.785398163397555,,integration_failure_bracket,,,False,True,[[]]
negative_extension_1,hopf,16812073756985876448939796045368662903713602942089/50000000000000000000000000000000000000000000000000,138913914305860722107289545129867291/2500000000000000000000,-9038737871492224970393418807128640125428617124414410880492798195948434252118988580111/625000000000000000000000000000000000000000000000000000000000000000000000,1/1000000,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-138913914305860722107289545129867291/2500000000000000000000"", ""1/1000000"", ""-10"", ""11/5"", ""16812073756985876448939796045368662903713602942089/50000000000000000000000000000000000000000000000000""]",0,,[],-0.785398163397555,,integration_failure_bracket,,,False,True,[[]]
