index,K,c_pair,inner_radius,outer_radius,outside_D,edge_log_radius,edge_D,outside_sign,edge_sign,comparison,edge_kind,rational_vector
10,0.0000002,2421551653149134727722713453107699105762737/2500000000000000000000000000000000000000000,5.530413597893141643559198733637037970949889,8.237853532571081981997203312017635415979263,1.19830681837466099924819742924660161e-11,40,7.97848430221872765671880307917323055e-05,1,1,agree,configured_grid_end_not_mathematical_boundary,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-525000002500000000000000000000000000000000000/14137068184640482004949847984184690163390107"", ""0"", ""-10"", ""11/5"", ""2421551653149134727722713453107699105762737/2500000000000000000000000000000000000000000""]"
11,0.0000005,1210775878523619271437039837232960423992721/1250000000000000000000000000000000000000000,5.530413784212256197718066998998066011108142,8.237853810103593582976815162930122338007377,2.99576723241042653262017387818216119e-11,40,0.000199463142693532888469369303450237216,1,1,agree,configured_grid_end_not_mathematical_boundary,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-262500003125000000000000000000000000000000000/7068534663759811985807438209562564663919931"", ""0"", ""-10"", ""11/5"", ""1210775878523619271437039837232960423992721/1250000000000000000000000000000000000000000""]"
12,0.000001,4843103860421518051882214876015945065549689/5000000000000000000000000000000000000000000,5.530414094057547373009566930341411388441426,8.237854271635101358683154875723053873488581,5.99153504672097667667434116446889499e-11,40,0.000398929735904303482425291250025898743,1,1,agree,configured_grid_end_not_mathematical_boundary,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-1050000025000000000000000000000000000000000000/28274142464636698570704363636175395721046579"", ""0"", ""-10"", ""11/5"", ""4843103860421518051882214876015945065549689/5000000000000000000000000000000000000000000""]"
13,0.000002,9686209106151411835360660435568369369673269/10000000000000000000000000000000000000000000,5.530414711688557390871712236341679361044288,8.237855194699111478101528945976698770321691,1.19830724210407399358549518118867815e-10,40,0.000797873274305240384550353071291090278,1,1,agree,configured_grid_end_not_mathematical_boundary,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-2100000100000000000000000000000000000000000000/56548300167665530188967264791252063066405959"", ""0"", ""-10"", ""11/5"", ""9686209106151411835360660435568369369673269/10000000000000000000000000000000000000000000""]"
14,0.000005,9686213262078233963409542075063700438789911/10000000000000000000000000000000000000000000,5.530416564586932383277059317446919540028173,8.237857966967948770505464710345588371133009,2.9957699104736039594276266045252476e-10,40,0.0019947867130423715071161253907020542,1,1,agree,configured_grid_end_not_mathematical_boundary,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-2100000250000000000000000000000000000000000000/56548345882860573597504962825700704826689021"", ""0"", ""-10"", ""11/5"", ""9686213262078233963409542075063700438789911/10000000000000000000000000000000000000000000""]"
15,0.00001,4843110094314293633109707125176230380958061/5000000000000000000000000000000000000000000,5.530419654828946800618951856939523569447332,8.237862582327826250252820631722493281282113,5.99154563990367996953934557281366176e-10,40,0.0039899185740573348523644058307815109,1,1,agree,configured_grid_end_not_mathematical_boundary,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-1050000250000000000000000000000000000000000000/28274211037457229964206778376938534190538671"", ""0"", ""-10"", ""11/5"", ""4843110094314293633109707125176230380958061/5000000000000000000000000000000000000000000""]"
16,0.00002,15134740690235125462547454591488055949557/15625000000000000000000000000000000000000,5.530425835379786193876965105738317004885319,8.237871816215986796265854297815779227083614,1.19831147935059488579826044217708941e-09,40,0.00798121816799116487624501624827262755,1,1,agree,configured_grid_end_not_mathematical_boundary,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-3281251562500000000000000000000000000000000/88357147592586380088022000506368615445127"", ""0"", ""-10"", ""11/5"", ""15134740690235125462547454591488055949557/15625000000000000000000000000000000000000""]"
17,0.00005,9686275601285647558133155281528807962228689/10000000000000000000000000000000000000000000,5.530444375506543707721056498821553988263253,8.237899518676992102635408550350691804726065,2.99579633324828939711173326153570642e-09,40,0.0199634116374566973612668117858640524,1,1,agree,configured_grid_end_not_mathematical_boundary,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-2100002500000000000000000000000000000000000000/56549031614142123139464708096816887584515579"", ""0"", ""-10"", ""11/5"", ""9686275601285647558133155281528807962228689/10000000000000000000000000000000000000000000""]"
18,0.0001,2421586216935633024357199447405591277146879/2500000000000000000000000000000000000000000,5.530475278872958256460657537176431608032273,8.23794569516934619498102345059458339159315,5.99165156576064804713786829243047052e-09,40,0.0399614345719047366135143241877455998,1,1,agree,configured_grid_end_not_mathematical_boundary,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-525001250000000000000000000000000000000000000/14137448386291963267929193921461504048615669"", ""0"", ""-10"", ""11/5"", ""2421586216935633024357199447405591277146879/2500000000000000000000000000000000000000000""]"
19,0.0002,242162085069366543781729858167928283252323/250000000000000000000000000000000000000000,5.530537090227008586751718751075626934909657,8.238038051973551724529328095821216191580549,1.19835382323167607642963920173601087e-08,40,0.0800617453705431818837955885815621563,1,1,agree,configured_grid_end_not_mathematical_boundary,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-52500250000000000000000000000000000000000000/1413782935763031981599028439847211115775553"", ""0"", ""-10"", ""11/5"", ""242162085069366543781729858167928283252323/250000000000000000000000000000000000000000""]"
20,0.0004,9686760481311110513409754489405635428402587/10000000000000000000000000000000000000000000,5.530660741723641604600654342213033782368578,8.238222811552208029903306443089808404133162,2.39680176592888305445707509672626108e-08,40,0.16068247140149098271895219814225533,1,1,agree,configured_grid_end_not_mathematical_boundary,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-2100020000000000000000000000000000000000000000/56554365294422215647507299383461989712428457"", ""0"", ""-10"", ""11/5"", ""9686760481311110513409754489405635428402587/10000000000000000000000000000000000000000000""]"
21,0.0008,1937462934452548093530231148280501722294641/2000000000000000000000000000000000000000000,5.530908153708903091712958917891327975730759,8.238592490067094775617829823197895180941112,4.79397988101318907868192337455535986e-08,40,0.323629118534052773450928365218007394,1,1,agree,configured_grid_end_not_mathematical_boundary,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-420008000000000000000000000000000000000000000/11312092278978029028832542631085518945241051"", ""0"", ""-10"", ""11/5"", ""1937462934452548093530231148280501722294641/2000000000000000000000000000000000000000000""]"
22,0.0012,2421967227091727594918095145914196689803407/2500000000000000000000000000000000000000000,5.531155710365520403987563912896328764536287,8.238962387249798186879433407669113141960717,7.19153437349371994450713031681294494e-08,40,0.488897759260170706874233774678087078,1,1,agree,configured_grid_end_not_mathematical_boundary,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-525015000000000000000000000000000000000000000/14141639498009003544099046605056163587837477"", ""0"", ""-10"", ""11/5"", ""2421967227091727594918095145914196689803407/2500000000000000000000000000000000000000000""]"
23,0.001953125,9688912553490597545103435518901733100571459/10000000000000000000000000000000000000000000,5.531622208169668114292364704901807167189002,8.239659428608890476386096018855995542514549,1.17067015395063372663427835456187868e-07,40,0.806581753671841670740887419962993665,1,1,agree,configured_grid_end_not_mathematical_boundary,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-2100097656250000000000000000000000000000000000/56578038088396572996137790707919064106286049"", ""0"", ""-10"", ""11/5"", ""9688912553490597545103435518901733100571459/10000000000000000000000000000000000000000000""]"
