=== row7  a=0.72727272727272727272727272727273 a20=-12 side=1
  n=70   x0=3.0804350982824        a11=3.0467112612646        Dxxx=-0.001004701023        ds=0.150000   154s
  n=80   x0=3.3261588539132        a11=3.0272541525498        Dxxx=-0.001071723655        ds=0.150000   176s
  n=90   x0=3.5655113669293        a11=3.0088307415784        Dxxx=-0.001116439521        ds=0.150000   199s
  n=100  x0=3.7995643760895        a11=2.9913281295234        Dxxx=-0.001143891808        ds=0.150000   222s
  n=110  x0=4.0291165663610        a11=2.9746517730562        Dxxx=-0.001158098256        ds=0.150000   246s
  n=120  x0=4.2547833518120        a11=2.9587216436873        Dxxx=-0.001162202560        ds=0.150000   269s
  -> npts=120 end=4.254783351811982064759027402209517 reason=MAXPTS Dxxx_sign_changes=0  (273s)
=== c_a0p5_om0p3  a=0.5 a20=-3.675 side=1
  n=10   x0=1.2005637920729        a11=2.9886365170953        Dxxx=-1.641615730e-5        ds=0.150000   24s
  n=20   x0=1.6520458094948        a11=2.9234537216975        Dxxx=-0.0003952803060       ds=0.150000   45s
  n=30   x0=1.9974036785040        a11=2.8630292739815        Dxxx=-0.0008719093043       ds=0.150000   66s
  n=40   x0=2.3121396856694        a11=2.8074672962077        Dxxx=-0.001271582628        ds=0.150000   86s
  n=50   x0=2.6112088582761        a11=2.7561171643043        Dxxx=-0.001566003648        ds=0.150000   107s
  n=60   x0=2.9006665560174        a11=2.7084041648621        Dxxx=-0.001766342517        ds=0.150000   128s
  n=70   x0=3.1836585733920        a11=2.6638562131600        Dxxx=-0.001892041961        ds=0.150000   151s
  n=80   x0=3.4620581142724        a11=2.6220869497254        Dxxx=-0.001961459777        ds=0.150000   172s
  n=90   x0=3.7370818889770        a11=2.5827775445280        Dxxx=-0.001989573265        ds=0.150000   190s
  n=100  x0=4.0095692101432        a11=2.5456620914272        Dxxx=-0.001987924717        ds=0.150000   208s
  n=110  x0=4.2801250981076        a11=2.5105164803993        Dxxx=-0.001965180585        ds=0.150000   227s
  n=120  x0=4.5492005211645        a11=2.4771499747808        Dxxx=-0.001927765149        ds=0.150000   245s
  -> npts=120 end=4.549200521164473363552663227516337 reason=MAXPTS Dxxx_sign_changes=0  (249s)
=== c_a0p6_om1p0  a=0.6 a20=-4.887603305785123966942148760330579 side=1
  n=10   x0=1.1912437580145        a11=2.7848612786162        Dxxx=-2.458777724e-5        ds=0.150000   19s
  n=20   x0=1.6161942136195        a11=2.6999316713900        Dxxx=-0.0005076481917       ds=0.150000   35s
  n=30   x0=1.9462694917557        a11=2.6210326552641        Dxxx=-0.001048983128        ds=0.150000   51s
  n=40   x0=2.2518306406463        a11=2.5483393986037        Dxxx=-0.001469508861        ds=0.150000   68s
  n=50   x0=2.5465142077430        a11=2.4811261566803        Dxxx=-0.001757900759        ds=0.150000   86s
  n=60   x0=2.8356826281537        a11=2.4187228120729        Dxxx=-0.001936940255        ds=0.150000   104s
  n=70   x0=3.1220253335976        a11=2.3605604786915        Dxxx=-0.002033251341        ds=0.150000   121s
  n=80   x0=3.4070808316786        a11=2.3061608864216        Dxxx=-0.002069634922        ds=0.150000   139s
  n=90   x0=3.6918047226745        a11=2.2551203774388        Dxxx=-0.002063822030        ds=0.150000   159s
  n=100  x0=3.9768242704788        a11=2.2070958164821        Dxxx=-0.002029039052        ds=0.150000   178s
  n=110  x0=4.2625673258671        a11=2.1617932519882        Dxxx=-0.001974946373        ds=0.150000   198s
  n=120  x0=4.5493336383870        a11=2.1189589780587        Dxxx=-0.001908513375        ds=0.150000   217s
  -> npts=120 end=4.549333638386984111456999332199807 reason=MAXPTS Dxxx_sign_changes=0  (221s)
=== c_a0p6_o0p3  a=0.6 a20=-3.587603305785123966942148760330579 side=1
  n=10   x0=1.2146282236162        a11=2.7807350775065        Dxxx=2.689871198e-5         ds=0.150000   21s
