=== row5  a=-4 a20=-1 side=1
  n=40   x0=1.5754746327702        a11=9.3440946613270        Dxxx=0.1707958474           ds=0.150000   102s
  n=50   x0=1.6251524729883        a11=10.403990181946        Dxxx=0.2913571071           ds=0.150000   134s
  n=60   x0=1.6629159983304        a11=11.464184270333        Dxxx=0.4385142263           ds=0.150000   168s
  n=70   x0=1.6927808495179        a11=12.524542724840        Dxxx=0.6087508591           ds=0.150000   205s
  n=80   x0=1.7170922812155        a11=13.585001122697        Dxxx=0.7987340281           ds=0.150000   245s
  n=90   x0=1.7373301422560        a11=14.645524302088        Dxxx=1.005416368            ds=0.150000   286s
  n=100  x0=1.7544811196798        a11=15.706091210066        Dxxx=1.226076686            ds=0.150000   331s
  n=110  x0=1.7692312056591        a11=16.766688391506        Dxxx=1.458323505            ds=0.150000   376s
  n=120  x0=1.7820734616130        a11=17.827306855335        Dxxx=1.700078020            ds=0.150000   424s
  -> npts=120 end=1.782073461612991349844878432208071 reason=MAXPTS Dxxx_sign_changes=0  (428s)
=== c_am0p8_o0p08  a=-0.8 a20=7.82320987654320987654320987654321 side=1
  *** D_xxx SIGN CHANGE between x0=1.06588661711 and 1.08754656808 : 1.36890e-8 -> -2.73928e-8
  n=10   x0=1.1910675014128        a11=5.7683039587664        Dxxx=-1.561120595e-5        ds=0.150000   26s
  n=20   x0=1.4744224214003        a11=6.8072118645277        Dxxx=-0.008430743157        ds=0.150000   49s
  n=30   x0=1.6066760422212        a11=7.8619208978230        Dxxx=-0.06637705246         ds=0.150000   73s
  n=40   x0=1.6920523659534        a11=8.9148843072278        Dxxx=-0.2373377978          ds=0.150000   100s
  n=50   x0=1.7533877974696        a11=9.9641877916011        Dxxx=-0.5941092626          ds=0.150000   128s
  n=60   x0=1.8001689282810        a11=11.009821308605        Dxxx=-1.211016692           ds=0.150000   158s
  n=70   x0=1.8372957221081        a11=12.052180656381        Dxxx=-2.159555798           ds=0.150000   191s
  n=80   x0=1.8676262032207        a11=13.091712163757        Dxxx=-3.506381838           ds=0.150000   227s
  n=90   x0=1.8929650405758        a11=14.128821936121        Dxxx=-5.312659646           ds=0.150000   264s
  n=100  x0=1.9145175341193        a11=15.163858214422        Dxxx=-7.634116636           ds=0.150000   303s
  n=110  x0=1.9331230946285        a11=16.197114150786        Dxxx=-10.52141441           ds=0.150000   344s
  n=120  x0=1.9493857095074        a11=17.228835369701        Dxxx=-14.02063337           ds=0.150000   385s
