=== row6  a=5 a20=-50 side=1
  n=20   x0=1.4745151426738        a11=6.8068967834412        Dxxx=-0.007716723671        ds=0.150000   51s
  n=30   x0=1.6068024842114        a11=7.8618486279863        Dxxx=-0.06301595670         ds=0.150000   73s
  n=40   x0=1.6921842916188        a11=8.9151698309436        Dxxx=-0.2285508106          ds=0.150000   100s
  n=50   x0=1.7535132828669        a11=9.9648349298204        Dxxx=-0.5767079747          ds=0.150000   128s
  n=60   x0=1.8002839419912        a11=11.010799142278        Dxxx=-1.181749861           ds=0.150000   158s
  n=70   x0=1.8373994653514        a11=12.053450044107        Dxxx=-2.115330317           ds=0.150000   192s
  n=80   x0=1.8677190599238        a11=13.093234733227        Dxxx=-3.444377455           ds=0.150000   227s
  n=90   x0=1.8930477612661        a11=14.130562858132        Dxxx=-5.230371670           ds=0.150000   264s
  n=100  x0=1.9145909407702        a11=15.165786777638        Dxxx=-7.529356137           ds=0.150000   302s
  n=110  x0=1.9331879881350        a11=16.199203590966        Dxxx=-10.39228647           ds=0.150000   342s
  n=120  x0=1.9494428478911        a11=17.231062478981        Dxxx=-13.86550606           ds=0.150000   385s
  -> npts=120 end=1.949442847891077895907449900549275 reason=MAXPTS Dxxx_sign_changes=1  (388s)
=== c_am0p2_om0p08  a=-0.2 a20=7.09037037037037037037037037037037 side=1
  n=10   x0=1.1867741857663        a11=4.4513621060473        Dxxx=-1.055035764e-6        ds=0.150000   28s
  n=20   x0=1.5249090277919        a11=4.7595611974170        Dxxx=-0.0001888833331       ds=0.150000   47s
  n=30   x0=1.7337658576166        a11=5.0735220889635        Dxxx=-0.001010844807        ds=0.150000   65s
  n=40   x0=1.8970283438780        a11=5.3874915004058        Dxxx=-0.002762054124        ds=0.150000   83s
  n=50   x0=2.0329990827737        a11=5.6997222834594        Dxxx=-0.005613564458        ds=0.150000   103s
  n=60   x0=2.1498225413930        a11=6.0091912472130        Dxxx=-0.009650223067        ds=0.150000   123s
  n=70   x0=2.2521350718920        a11=6.3152462951391        Dxxx=-0.01489458556         ds=0.150000   144s
  n=80   x0=2.3429451275446        a11=6.6174751367154        Dxxx=-0.02132525034         ds=0.150000   166s
  n=90   x0=2.4243667257840        a11=6.9156313476529        Dxxx=-0.02889124214         ds=0.150000   187s
  n=100  x0=2.4979653343952        a11=7.2095856397639        Dxxx=-0.03752305923         ds=0.150000   210s
  n=110  x0=2.5649433886635        a11=7.4992917693384        Dxxx=-0.04714089607         ds=0.150000   234s
  n=120  x0=2.6262495291646        a11=7.7847621090581        Dxxx=-0.05766055958         ds=0.150000   257s
  -> npts=120 end=2.626249529164602504583858336586283 reason=MAXPTS Dxxx_sign_changes=0  (261s)
=== c_a0p0_om1p0  a=0.0 a20=-1.0 side=1
  n=10   x0=1.2091590068499        a11=4.0363908509289        Dxxx=-7.240152260e-5        ds=0.150000   23s
  n=20   x0=1.6311716515217        a11=4.2573801073515        Dxxx=-0.001669314797        ds=0.150000   43s
  n=30   x0=1.9027839329130        a11=4.4684454641681        Dxxx=-0.003418498280        ds=0.150000   64s
  n=40   x0=2.1193009319052        a11=4.6677982039538        Dxxx=-0.004781869149        ds=0.150000   86s
  n=50   x0=2.3025620858402        a11=4.8569022250231        Dxxx=-0.005775923392        ds=0.150000   107s
  n=60   x0=2.4625410545366        a11=5.0371344713596        Dxxx=-0.006484159524        ds=0.150000   128s
  n=70   x0=2.6049628668460        a11=5.2096318883440        Dxxx=-0.006981420231        ds=0.150000   151s
  n=80   x0=2.7335296364197        a11=5.3753208099793        Dxxx=-0.007324416598        ds=0.150000   174s
  n=90   x0=2.8508177106388        a11=5.5349608399105        Dxxx=-0.007554357137        ds=0.150000   197s
  n=100  x0=2.9587119191107        a11=5.6891816262561        Dxxx=-0.007700947967        ds=0.150000   221s
  n=110  x0=3.0586423754315        a11=5.8385110430071        Dxxx=-0.007785685917        ds=0.150000   245s
  n=120  x0=3.1517248967785        a11=5.9833964204520        Dxxx=-0.007824255290        ds=0.150000   270s
  -> npts=120 end=3.151724896778533830995790117603430 reason=MAXPTS Dxxx_sign_changes=0  (273s)
=== c_a0p0_o0p3  a=0.0 a20=0.3 side=1
  n=10   x0=1.1967757639406        a11=4.0316677889417        Dxxx=7.912374148e-6         ds=0.150000   25s
  n=20   x0=1.5804134857512        a11=4.2204258164770        Dxxx=0.0002074060396        ds=0.150000   44s
  n=30   x0=1.8302379630625        a11=4.4048321175033        Dxxx=0.0004784082482        ds=0.150000   63s
  n=40   x0=2.0325581611586        a11=4.5825781881017        Dxxx=0.0007339639803        ds=0.150000   84s
  n=50   x0=2.2062817336552        a11=4.7539665147334        Dxxx=0.0009541424326        ds=0.150000   100s
  n=60   x0=2.3598164284598        a11=4.9194923863017        Dxxx=0.001137166126         ds=0.150000   116s
  n=70   x0=2.4979324311537        a11=5.0796453610580        Dxxx=0.001286647927         ds=0.150000   134s
  n=80   x0=2.6237108351138        a11=5.2348719977641        Dxxx=0.001407461369         ds=0.150000   150s
  n=90   x0=2.7393073758586        a11=5.3855706372737        Dxxx=0.001504339111         ds=0.150000   168s
  n=100  x0=2.8463135936941        a11=5.5320944261489        Dxxx=0.001581437992         ds=0.150000   187s
  n=110  x0=2.9459504438307        a11=5.6747563579565        Dxxx=0.001642260033         ds=0.150000   205s
  n=120  x0=3.0391818566592        a11=5.8138344372101        Dxxx=0.001689700098         ds=0.150000   224s
  -> npts=120 end=3.039181856659243282649876234643657 reason=MAXPTS Dxxx_sign_changes=0  (228s)
=== c_a0p2_o0p08  a=0.2 a20=-1.903673469387755102040816326530612 side=1
  n=10   x0=1.2032124237245        a11=3.6118499214255        Dxxx=6.159300260e-6         ds=0.150000   21s
  n=20   x0=1.6300576199559        a11=3.6817330551660        Dxxx=0.0002300165703        ds=0.150000   37s
  n=30   x0=1.9266919014456        a11=3.7478630951286        Dxxx=0.0006399223492        ds=0.150000   53s
  n=40   x0=2.1778856202442        a11=3.8098823418370        Dxxx=0.001104762649         ds=0.150000   70s
  n=50   x0=2.4018981554754        a11=3.8683248984076        Dxxx=0.001560847929         ds=0.150000   87s
  n=60   x0=2.6067408615353        a11=3.9236752454704        Dxxx=0.001981684454         ds=0.150000   105s
  n=70   x0=2.7969047461296        a11=3.9763311417399        Dxxx=0.002358560439         ds=0.150000   122s
  n=80   x0=2.9752603067497        a11=4.0266165919170        Dxxx=0.002690857150         ds=0.150000   140s
  n=90   x0=3.1437986641285        a11=4.0747975997698        Dxxx=0.002981414232         ds=0.150000   158s
  n=100  x0=3.3039801218456        a11=4.1210949868136        Dxxx=0.003234337013         ds=0.150000   177s
  n=110  x0=3.4569197782122        a11=4.1656941404004        Dxxx=0.003453976168         ds=0.150000   195s
  n=120  x0=3.6034955530111        a11=4.2087523476984        Dxxx=0.003644473426         ds=0.150000   214s
  -> npts=120 end=3.603495553011141752353300620354149 reason=MAXPTS Dxxx_sign_changes=0  (217s)
=== c_a0p4_om0p3  a=0.4 a20=-3.249794238683127572016460905349794 side=1
  n=10   x0=1.1890343846491        a11=3.1956232076148        Dxxx=-8.549904594e-6        ds=0.150000   21s
  n=20   x0=1.5875896979179        a11=3.1708134979591        Dxxx=-0.0001908680309       ds=0.150000   36s
  n=30   x0=1.8804691398786        a11=3.1473343845153        Dxxx=-0.0004171083082       ds=0.150000   52s
  n=40   x0=2.1408863160579        a11=3.1252990904748        Dxxx=-0.0006165985852       ds=0.150000   67s
  n=50   x0=2.3835989272916        a11=3.1045546066919        Dxxx=-0.0007774485235       ds=0.150000   84s
  n=60   x0=2.6146711249311        a11=3.0849534408212        Dxxx=-0.0009017297588       ds=0.150000   100s
  n=70   x0=2.8373016879171        a11=3.0663688268111        Dxxx=-0.0009949380111       ds=0.150000   117s
  n=80   x0=3.0534278895539        a11=3.0486935476257        Dxxx=-0.001062839579        ds=0.150000   134s
  n=90   x0=3.2643321469162        a11=3.0318367536722        Dxxx=-0.001110532696        ds=0.150000   151s
  n=100  x0=3.4709179007217        a11=3.0157209695039        Dxxx=-0.001142250177        ds=0.150000   168s
  n=110  x0=3.6738515516165        a11=3.0002796284861        Dxxx=-0.001161410015        ds=0.150000   185s
  n=120  x0=3.8736423127268        a11=2.9854551086073        Dxxx=-0.001170736777        ds=0.150000   203s
  -> npts=120 end=3.873642312726839767017779766388476 reason=MAXPTS Dxxx_sign_changes=0  (205s)
=== c_a0p5_om1p0  a=0.5 a20=-4.375 side=1
  n=10   x0=1.1830486352444        a11=2.9905303208696        Dxxx=-1.845149719e-5        ds=0.150000   19s
  n=20   x0=1.5697523755706        a11=2.9377639458970        Dxxx=-0.0003878684613       ds=0.150000   34s
  n=30   x0=1.8596619950629        a11=2.8879681271481        Dxxx=-0.0008233778284       ds=0.150000   50s
  n=40   x0=2.1218691521802        a11=2.8413466704143        Dxxx=-0.001188232236        ds=0.150000   65s
  n=50   x0=2.3700600561401        a11=2.7975830412992        Dxxx=-0.001466048578        ds=0.150000   82s
  n=60   x0=2.6097394629796        a11=2.7563686498828        Dxxx=-0.001666357992        ds=0.150000   98s
  n=70   x0=2.8437402501578        a11=2.7174345567574        Dxxx=-0.001803658709        ds=0.150000   115s
  n=80   x0=3.0737324502201        a11=2.6805503685663        Dxxx=-0.001891653641        ds=0.150000   130s
  n=90   x0=3.3007904913163        a11=2.6455186405865        Dxxx=-0.001941816970        ds=0.150000   146s
  n=100  x0=3.5256491967603        a11=2.6121693128303        Dxxx=-0.001963308830        ds=0.150000   165s
  n=110  x0=3.7488343339697        a11=2.5803549915457        Dxxx=-0.001963283639        ds=0.150000   182s
  n=120  x0=3.9707353405916        a11=2.5499471086213        Dxxx=-0.001947270022        ds=0.150000   199s
  -> npts=120 end=3.970735340591611521793693503482112 reason=MAXPTS Dxxx_sign_changes=0  (202s)
=== c_a0p5_o0p3  a=0.5 a20=-3.075 side=1
  n=10   x0=1.2182905637326        a11=2.9861849229825        Dxxx=5.565356221e-5         ds=0.150000   19s
  n=20   x0=1.7529368669115        a11=2.9049211548879        Dxxx=0.0002331889264        ds=0.150000   37s
  *** D_xxx SIGN CHANGE between x0=1.96879751844 and 2.01028491111 : 2.56035e-5 -> -2.68871e-5
  n=30   x0=2.1721016123314        a11=2.8314741725267        Dxxx=-0.0002522249648       ds=0.150000   54s
  n=40   x0=2.5560872102114        a11=2.7655034553694        Dxxx=-0.0008048171689       ds=0.150000   73s
  n=50   x0=2.9214125091468        a11=2.7056940672678        Dxxx=-0.001233501354        ds=0.150000   91s
  n=60   x0=3.2750189025068        a11=2.6509990601392        Dxxx=-0.001524033969        ds=0.150000   108s
  n=70   x0=3.6206217415403        a11=2.6006136661039        Dxxx=-0.001703361934        ds=0.150000   127s
  n=80   x0=3.9604834055498        a11=2.5539118863138        Dxxx=-0.001801443483        ds=0.150000   146s
  n=90   x0=4.2960974060523        a11=2.5103979876704        Dxxx=-0.001842559568        ds=0.150000   166s
  n=100  x0=4.6285059048372        a11=2.4696725150066        Dxxx=-0.001844657445        ds=0.150000   185s
  n=110  x0=4.9584661364894        a11=2.4314085347831        Dxxx=-0.001820543627        ds=0.150000   205s
  n=120  x0=5.2865455209145        a11=2.3953347732985        Dxxx=-0.001779223929        ds=0.150000   224s
  -> npts=120 end=5.286545520914523151394715043371132 reason=MAXPTS Dxxx_sign_changes=1  (227s)
=== c_a0p6_o0p08  a=0.6 a20=-3.807603305785123966942148760330579 side=1
  n=10   x0=1.2103322447558        a11=2.7816018783467        Dxxx=2.269873001e-6         ds=0.150000   23s
  *** D_xxx SIGN CHANGE between x0=1.21033224476 and 1.28132310423 : 2.26987e-6 -> -2.90637e-30
  *** D_xxx SIGN CHANGE between x0=1.28132310423 and 1.43132310423 : -2.90637e-30 -> 1.31661e-31
  *** D_xxx SIGN CHANGE between x0=1.58132310423 and 1.73132310423 : 2.28042e-32 -> -1.59250e-32
  *** D_xxx SIGN CHANGE between x0=1.73132310423 and 1.88132310423 : -1.59250e-32 -> 1.37223e-32
  *** D_xxx SIGN CHANGE between x0=1.88132310423 and 2.03132310423 : 1.37223e-32 -> -7.94446e-34
  *** D_xxx SIGN CHANGE between x0=2.18132310423 and 2.33132310423 : -1.76945e-33 -> 7.22224e-35
  n=20   x0=2.6313231042333        a11=2.7710407190560        Dxxx=1.516669831e-33        ds=0.150000   37s
  *** D_xxx SIGN CHANGE between x0=2.78132310423 and 2.93132310423 : 1.44445e-34 -> 0.0
  *** D_xxx SIGN CHANGE between x0=2.93132310423 and 3.08132310423 : 0.0 -> 3.97223e-34
  *** D_xxx SIGN CHANGE between x0=3.08132310423 and 3.23132310423 : 3.97223e-34 -> -1.51667e-33
  *** D_xxx SIGN CHANGE between x0=3.23132310423 and 3.38132310423 : -1.51667e-33 -> 3.25001e-34
  *** D_xxx SIGN CHANGE between x0=3.38132310423 and 3.53132310423 : 3.25001e-34 -> -3.25001e-34
  *** D_xxx SIGN CHANGE between x0=3.53132310423 and 3.68132310423 : -3.25001e-34 -> 5.05557e-34
  *** D_xxx SIGN CHANGE between x0=3.68132310423 and 3.83132310423 : 5.05557e-34 -> -9.75002e-34
  *** D_xxx SIGN CHANGE between x0=3.83132310423 and 3.98132310423 : -9.75002e-34 -> 7.22224e-35
  n=30   x0=4.1313231042333        a11=2.7710407190560        Dxxx=2.527783052e-34        ds=0.150000   51s
  *** D_xxx SIGN CHANGE between x0=4.28132310423 and 4.43132310423 : 3.97223e-34 -> -2.16667e-34
  *** D_xxx SIGN CHANGE between x0=4.88132310423 and 5.03132310423 : -5.41668e-34 -> 7.22224e-35
  *** D_xxx SIGN CHANGE between x0=5.03132310423 and 5.18132310423 : 7.22224e-35 -> -5.41668e-34
  *** D_xxx SIGN CHANGE between x0=5.48132310423 and 5.63132310423 : -3.61112e-35 -> 7.22224e-35
  n=40   x0=5.6313231042333        a11=2.7710407190560        Dxxx=7.222237291e-35        ds=0.150000   65s
  *** D_xxx SIGN CHANGE between x0=5.63132310423 and 5.78132310423 : 7.22224e-35 -> -1.08334e-34
  *** D_xxx SIGN CHANGE between x0=5.78132310423 and 5.93132310423 : -1.08334e-34 -> 1.80556e-34
  *** D_xxx SIGN CHANGE between x0=5.93132310423 and 6.08132310423 : 1.80556e-34 -> -3.25001e-34
  *** D_xxx SIGN CHANGE between x0=6.23132310423 and 6.38132310423 : -3.97223e-34 -> 2.16667e-34
  *** D_xxx SIGN CHANGE between x0=6.53132310423 and 6.68132310423 : 1.44445e-34 -> -3.97223e-34
  *** D_xxx SIGN CHANGE between x0=6.98132310423 and 7.13132310423 : -3.61112e-35 -> 3.97223e-34
  n=50   x0=7.1313231042333        a11=2.7710407190560        Dxxx=3.972230510e-34        ds=0.150000   80s
  *** D_xxx SIGN CHANGE between x0=7.58132310423 and 7.73132310423 : 1.44445e-34 -> -1.80556e-34
  *** D_xxx SIGN CHANGE between x0=8.03132310423 and 8.18132310423 : -1.80556e-34 -> 2.16667e-34
  *** D_xxx SIGN CHANGE between x0=8.33132310423 and 8.48132310423 : 1.08334e-34 -> -3.61112e-35
  n=60   x0=8.6313231042333        a11=2.7710407190560        Dxxx=-3.611118646e-35       ds=0.150000   94s
  *** D_xxx SIGN CHANGE between x0=9.08132310423 and 9.23132310423 : -2.88889e-34 -> 2.52778e-34
  *** D_xxx SIGN CHANGE between x0=9.68132310423 and 9.83132310423 : 2.16667e-34 -> -2.16667e-34
  *** D_xxx SIGN CHANGE between x0=9.83132310423 and 9.98132310423 : -2.16667e-34 -> 2.88889e-34
  n=70   x0=10.131323104233        a11=2.7710407190560        Dxxx=1.805559323e-34        ds=0.150000   106s
  *** D_xxx SIGN CHANGE between x0=10.2813231042 and 10.4313231042 : 1.80556e-34 -> -7.22224e-35
  *** D_xxx SIGN CHANGE between x0=10.4313231042 and 10.5813231042 : -7.22224e-35 -> 1.08334e-34
  *** D_xxx SIGN CHANGE between x0=10.8813231042 and 11.0313231042 : 1.80556e-34 -> -1.08334e-34
  *** D_xxx SIGN CHANGE between x0=11.0313231042 and 11.1813231042 : -1.08334e-34 -> 1.08334e-34
  *** D_xxx SIGN CHANGE between x0=11.4813231042 and 11.6313231042 : 3.61112e-35 -> -3.61112e-35
  n=80   x0=11.631323104233        a11=2.7710407190560        Dxxx=-3.611118646e-35       ds=0.150000   123s
  *** D_xxx SIGN CHANGE between x0=11.6313231042 and 11.7813231042 : -3.61112e-35 -> 1.98612e-34
  *** D_xxx SIGN CHANGE between x0=11.7813231042 and 11.9313231042 : 1.98612e-34 -> -1.80556e-35
  *** D_xxx SIGN CHANGE between x0=11.9313231042 and 12.0813231042 : -1.80556e-35 -> 3.61112e-35
  *** D_xxx SIGN CHANGE between x0=12.2313231042 and 12.3813231042 : 2.34723e-34 -> -3.61112e-35
  *** D_xxx SIGN CHANGE between x0=12.5313231042 and 12.6813231042 : -9.02780e-35 -> 9.02780e-35
  *** D_xxx SIGN CHANGE between x0=12.6813231042 and 12.8313231042 : 9.02780e-35 -> -7.22224e-35
  *** D_xxx SIGN CHANGE between x0=12.8313231042 and 12.9813231042 : -7.22224e-35 -> 1.80556e-34
  n=90   x0=13.131323104233        a11=2.7710407190560        Dxxx=7.222237291e-35        ds=0.150000   142s
  *** D_xxx SIGN CHANGE between x0=13.4313231042 and 13.5813231042 : 1.80556e-34 -> -3.61112e-35
  *** D_xxx SIGN CHANGE between x0=13.7313231042 and 13.8813231042 : 0.0 -> 1.62500e-34
  *** D_xxx SIGN CHANGE between x0=13.8813231042 and 14.0313231042 : 1.62500e-34 -> -5.41668e-35
  *** D_xxx SIGN CHANGE between x0=14.3313231042 and 14.4813231042 : -3.61112e-35 -> 3.43056e-34
  n=100  x0=14.631323104233        a11=2.7710407190560        Dxxx=1.083335594e-34        ds=0.150000   159s
  *** D_xxx SIGN CHANGE between x0=14.7813231042 and 14.9313231042 : 1.62500e-34 -> -7.22224e-35
